Area,Puja Name,Location,GPS Location,Committee Name,Public or Apartment Event,Parking,On the Metro Map,Nearest Station
Bangalore Central,Jayamahal Durga Puja,"Ladies Club Grounds, Opposite Jayamahal Park",https://maps.app.goo.gl/5uRmPbmmU1SeqAYH9,Jayamahal Cultural Association,Public Puja (Open to All),Unmanaged,Yes,Cubbon Park
Bangalore Central,The Famous Palace Ground Durga Puja ( Gate 9),Palace Ground Gate 9,https://maps.app.goo.gl/jL6ELV1QDQ3fWySu9?g_st=aw,RT Nagar Bengali Socio Cultural Trust,Public Puja (Open to All),Managed,Yes,Cubbon Park
Bangalore East,PRABAASEE ASSOCIATION SARBOJONIN DURGOTSAV - 2025,"The Havyaka Bhavan, Malleshwaram 11th Cross, 8th Main, Bengaluru, 560003",https://maps.app.goo.gl/GBZfs3YvKz4aNb5F6,PRABAASEE ASSOCIATION,Public Puja (Open to All),Open Area/Unmanaged,Yes,Srirampura
Bangalore East,Kithaganur Durga Puja,"Kithaganur , Next to Lvs Gardenia",https://maps.google.com/maps?q=13.035056114196777%2C77.70203399658203&z=17&hl=en,Kithaganur Durga Puja Association,Public Puja (Open to All),Open Area/Unmanaged,Yes,Krishnarajapura (K.R.Pura)
Bangalore East,Aarohan - A socio cultural forum Kadugodi Belathur,OPPOSITE NPS SCHOOL KADUGODI,https://maps.app.goo.gl/aT7Bceca3vYv3fyu5,Aarohan A socio cultural forum,Public Puja (Open to All),Managed,Yes,Whitefield (Kadugodi)
Bangalore East,Aaradhana Bengali Cultural Association,"SRR Kalyana Mantapa, beside Sri Chaitanya School, Kasturi nagar, Bengaluru 560043",https://maps.app.goo.gl/7421368Fib6v1CrC8,ABCA,Public Puja (Open to All),Managed,Yes,Baiyappanahalli
Bangalore East,Poorva Bangalore Cultural Association,Karnataka Trade Promotion Area just next to Kundalahalli Metro Station,https://maps.app.goo.gl/qcmSvQm2KxSjwUAZ7?g_st=ipc,Poorva Bangalore Cultural Association,Public Puja (Open to All),Managed,Yes,Kundalahalli
Bangalore East,Tripura Mondoli Bengaluru Durga Puja - AGOMONI,Ramamurthi Nagar,"https://www.google.com/maps/place/Tripura+Mondoli+Bengaluru+Durga+Puja+-+AGOMONI/@13.0043398,77.6631211,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae11002aead4bf:0x5ada5c9c55780ae2!8m2!3d13.0043398!4d77.665696!16s%2Fg%2F11y3rgky3g?entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Tripura Mondoli Bengaluru Cultural Association,Public Puja (Open to All),Unmanaged,Yes,Benniganahalli
Bangalore East,Aamantran Welfare Association Trust,Battarahalli,https://maps.app.goo.gl/uGYC6um7shUgPrge6,Aamantran Welfare Association Trust,Public Puja (Open to All),Yes (Managed),Yes,Garudacharpalya
Bangalore East,KBA DURGA PUJA,"VK SPORT CONVENTION HALL, KAGGADASAPURA",https://maps.app.goo.gl/9BEqDep5oj8Q8cXk8,KAGGADASAPURA BENGALI ASSOCIATION,Public Puja (Open to All),Yes (Managed),Yes,Baiyappanahalli
